Lesion Type,Original Samples,Effective / Augmented,Precision (%),Recall / Sensitivity (%),F1-score (%),Clinical Risk Category
Melanoma (Malignant) (MEL),679,—,72.0,48.9,58.2,Malignant (Critical)
Melanocytic Nevus (Benign) (NV),1929,—,83.3,91.2,87.1,Benign
Basal Cell Carcinoma (Malignant) (BCC),499,—,72.1,74.7,73.4,Malignant
Actinic Keratosis (Pre-cancer) (AK),130,—,35.8,51.5,42.3,Pre-cancerous
Benign Keratosis (Benign) (BKL),394,—,63.3,44.2,52.0,Benign
Dermatofibroma (Benign) (DF),36,—,22.3,58.3,32.3,Benign (Rare)
Vascular Lesion (Benign) (VASC),38,—,68.0,89.5,77.3,Benign (Rare)
Squamous Cell Carcinoma (Malignant) (SCC),94,—,35.6,38.3,36.9,Malignant
Macro Average (All 8 Classes),3799,—,56.6,62.1,57.4,Multi-Class Mean
